order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,,2025-11-18,293,5,232.19,1160.95,Completed,2025-11-18
2,,2025-10-25,172,5,61.60,308.00,Completed,2025-10-29
3,,2025-01-19,217,3,59.82,179.46,Completed,2025-01-22
4,,2024-10-22,30,1,23.17,23.17,Completed,2024-10-26
5,,2025-04-25,247,5,380.90,1904.50,Completed,2025-04-28
6,,2023-03-09,385,4,258.36,1033.44,Completed,2023-03-13
7,,2024-06-07,392,5,92.39,461.95,Completed,2024-06-07
8,,2023-03-15,184,5,192.28,961.40,Cancelled,
9,,2026-09-09,31,2,87.47,174.94,Pending,
10,,2025-02-01,140,4,130.46,521.84,Completed,2025-02-03
11,,2026-05-29,65,2,355.92,711.84,Pending,
12,,2023-03-31,353,5,46.97,234.85,Completed,2023-04-02
13,,2023-01-06,165,1,237.14,237.14,Cancelled,
14,,2023-07-18,406,5,338.12,1690.60,Completed,2023-07-20
15,,2025-01-24,315,2,316.36,632.72,Completed,2025-01-26
16,,2025-06-18,312,4,242.73,970.92,Completed,2025-06-20
17,,2024-03-19,466,1,368.60,368.60,Completed,2024-03-19
18,,2023-08-12,45,1,350.59,350.59,Completed,2023-08-13
19,,2023-04-01,281,2,73.64,147.28,Completed,2023-04-06
20,,2026-01-05,103,1,17.12,17.12,Completed,2026-01-07
21,,2026-06-28,500,5,101.48,507.40,Completed,2026-06-29
22,,2025-05-06,336,3,72.57,217.71,Completed,2025-05-10
23,,2023-05-10,448,3,306.05,918.15,Completed,2023-05-13
24,,2023-12-31,256,1,187.36,187.36,Completed,2024-01-03
25,,2023-01-30,245,3,73.73,221.19,Completed,2023-01-31
26,,2024-06-11,427,2,90.05,180.10,Completed,2024-06-13
27,,2026-04-11,322,4,140.34,561.36,Completed,2026-04-12
28,,2023-08-08,102,2,63.19,126.38,Completed,2023-08-08
29,,2024-02-10,159,6,45.01,270.06,Completed,2024-02-13
30,,2025-03-06,357,5,130.75,653.75,Completed,2025-03-06
31,,2025-02-11,473,1,203.43,203.43,Cancelled,
32,,2026-04-28,117,3,72.43,217.29,Completed,2026-04-28
33,,2023-06-07,2,3,88.02,264.06,Pending,
34,,2023-08-20,373,1,187.15,187.15,Completed,2023-08-22
35,,2026-05-05,141,3,255.82,767.46,Completed,2026-05-08
36,,2026-06-21,113,1,205.09,205.09,Completed,2026-06-21
37,,2025-11-22,152,2,151.03,302.06,Completed,2025-11-27
38,,2024-04-27,190,6,144.15,864.90,Completed,2024-04-28
39,,2026-06-27,466,4,368.60,1474.40,Completed,2026-06-29
40,,2023-03-02,257,4,45.09,180.36,Completed,2023-03-07
41,,2025-01-22,198,3,139.24,417.72,Completed,2025-01-24
42,,2024-05-03,262,5,180.53,902.65,Completed,2024-05-08
43,,2023-10-16,46,6,139.26,835.56,Completed,2023-10-18
44,,2026-06-02,250,3,165.39,496.17,Completed,2026-06-02
45,,2024-02-26,416,6,55.04,330.24,Completed,2024-03-01
46,,2023-09-18,247,6,380.90,2285.40,Completed,2023-09-23
47,,2025-03-02,161,2,125.43,250.86,Cancelled,
48,,2025-04-07,219,1,21.20,21.20,Completed,2025-04-08
49,,2025-04-08,380,6,306.35,1838.10,Completed,2025-04-12
50,,2024-02-23,127,4,147.93,591.72,Completed,2024-02-25
51,,2023-02-17,251,1,371.28,371.28,Completed,2023-02-18
52,,2024-02-08,148,3,59.88,179.64,Pending,
53,,2024-01-26,423,2,216.68,433.36,Pending,
54,,2023-11-27,133,2,253.39,506.78,Pending,
55,,2023-11-02,424,5,221.37,1106.85,Pending,
56,,2024-12-20,62,3,369.15,1107.45,Pending,
57,,2024-08-24,8,5,71.62,358.10,Completed,2024-08-29
58,,2024-09-16,145,1,203.57,203.57,Completed,2024-09-19
59,,2023-06-11,278,3,60.06,180.18,Completed,2023-06-14
60,,2023-11-21,500,5,101.48,507.40,Completed,2023-11-22
61,,2024-08-04,443,2,167.72,335.44,Pending,
62,,2023-04-01,397,5,94.26,471.30,Completed,2023-04-03
63,,2026-04-27,388,2,251.57,503.14,Completed,2026-05-02
64,,2025-03-13,14,4,67.76,271.04,Completed,2025-03-14
65,,2023-10-30,361,1,92.23,92.23,Completed,2023-11-03
66,,2024-08-28,300,6,284.21,1705.26,Completed,2024-09-02
67,,2026-09-08,352,3,70.83,212.49,Completed,2026-09-10
68,,2023-01-31,215,6,161.84,971.04,Pending,
69,,2026-07-25,333,5,74.59,372.95,Pending,
70,,2025-02-28,259,2,73.71,147.42,Completed,2025-03-03
71,,2026-05-07,424,5,221.37,1106.85,Pending,
72,,2026-07-16,420,6,10.60,63.60,Completed,2026-07-19
73,,2024-08-05,165,2,237.14,474.28,Completed,2024-08-08
74,,2026-03-05,64,3,21.73,65.19,Completed,2026-03-09
75,,2026-07-22,488,6,103.08,618.48,Completed,2026-07-26
76,,2024-04-10,57,3,283.66,850.98,Completed,2024-04-15
77,,2023-11-26,242,1,119.78,119.78,Completed,2023-11-30
78,,2024-09-27,146,1,163.12,163.12,Completed,2024-09-29
79,,2023-01-04,400,2,149.87,299.74,Completed,2023-01-04
80,,2025-02-11,403,6,227.20,1363.20,Completed,2025-02-12
81,,2026-01-23,263,6,218.70,1312.20,Completed,2026-01-27
82,,2024-06-21,353,2,46.97,93.94,Pending,
83,,2023-08-29,499,5,13.37,66.85,Completed,2023-08-29
84,,2024-10-29,185,1,157.37,157.37,Completed,2024-10-30
85,,2026-05-29,444,1,139.40,139.40,Completed,2026-05-30
86,,2025-09-04,326,6,33.38,200.28,Pending,
87,,2025-06-27,416,4,55.04,220.16,Pending,
88,,2024-12-01,201,5,238.37,1191.85,Completed,2024-12-02
89,,2024-09-12,13,6,45.82,274.92,Completed,2024-09-13
90,,2025-07-17,443,6,167.72,1006.32,Completed,2025-07-22
91,,2023-02-16,186,5,159.64,798.20,Completed,2023-02-17
92,,2023-10-09,376,2,305.60,611.20,Completed,2023-10-11
93,,2024-05-07,62,5,369.15,1845.75,Cancelled,
94,,2024-11-08,318,6,220.04,1320.24,Completed,2024-11-11
95,,2024-06-24,360,3,102.97,308.91,Completed,2024-06-24
96,,2025-11-03,186,2,159.64,319.28,Completed,2025-11-04
97,,2023-05-10,305,5,31.89,159.45,Completed,2023-05-15
98,,2025-11-25,412,3,368.90,1106.70,Cancelled,
99,,2023-12-14,435,5,189.35,946.75,Completed,2023-12-17
100,,2023-03-10,403,6,227.20,1363.20,Completed,2023-03-14
101,9034,2024-12-28,,3,228.75,686.25,Completed,2024-12-30
102,2230,2023-03-19,,6,244.43,1466.58,Completed,2023-03-24
103,7409,2023-12-31,,5,32.11,160.55,Pending,
104,9838,2026-09-07,,6,142.99,857.94,Completed,2026-09-10
105,3905,2026-08-28,,6,62.75,376.50,Completed,2026-08-28
106,7020,2024-03-17,,1,5.86,5.86,Completed,2024-03-17
107,7217,2026-05-31,,6,91.69,550.14,Cancelled,
108,5834,2025-09-03,,2,37.48,74.96,Completed,2025-09-05
109,1957,2025-04-27,,3,174.23,522.69,Completed,2025-05-02
110,7746,2026-02-15,,2,126.72,253.44,Completed,2026-02-18
111,835,2026-08-09,,4,101.33,405.32,Completed,2026-08-13
