product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Electronics Item 001,Electronics,137.24,116.18,2253,72
2,Home Item 002,Home,88.02,42.51,4467,32
3,Apparel Item 003,Apparel,127.92,107.52,767,65
4,Beauty Item 004,Beauty,84.05,44.18,4597,60
5,Sports Item 005,Sports,262.94,129.74,3436,66
6,Grocery Item 006,Grocery,123.58,82.51,53,204
7,Toys Item 007,Toys,294.56,145.63,2787,81
8,Books Item 008,Books,71.62,30.52,2757,36
9,Automotive Item 009,Automotive,24.68,19.42,2817,164
10,Office Item 010,Office,60.00,49.82,3763,147
11,Electronics Item 011,Electronics,57.78,25.09,645,151
12,Home Item 012,Home,106.26,54.89,2962,157
13,Apparel Item 013,Apparel,45.82,37.04,1866,207
14,Beauty Item 014,Beauty,67.76,54.22,1907,231
15,Sports Item 015,Sports,31.27,20.88,2988,51
16,Grocery Item 016,Grocery,96.74,68.52,2187,189
17,Toys Item 017,Toys,330.84,168.79,4990,172
18,Books Item 018,Books,68.62,33.29,1338,128
19,Automotive Item 019,Automotive,167.47,70.16,4562,66
20,Office Item 020,Office,273.64,124.18,458,68
21,Electronics Item 021,Electronics,320.13,148.46,3286,78
22,Home Item 022,Home,33.73,14.72,4646,234
23,Apparel Item 023,Apparel,184.15,130.07,4089,111
24,Beauty Item 024,Beauty,311.77,159.59,1170,77
25,Sports Item 025,Sports,57.67,27.71,4415,77
26,Grocery Item 026,Grocery,227.92,135.22,4780,112
27,Toys Item 027,Toys,160.74,67.07,1133,140
28,Books Item 028,Books,189.26,90.35,898,49
29,Automotive Item 029,Automotive,244.10,114.06,3458,162
30,Office Item 030,Office,23.17,14.24,3834,145
31,Electronics Item 031,Electronics,87.47,47.50,94,184
32,Home Item 032,Home,261.42,130.57,4398,202
33,Apparel Item 033,Apparel,98.01,50.23,913,85
34,Beauty Item 034,Beauty,137.29,79.95,2157,138
35,Sports Item 035,Sports,246.04,137.87,871,232
36,Grocery Item 036,Grocery,250.33,113.68,4158,165
37,Toys Item 037,Toys,61.80,38.21,1323,148
38,Books Item 038,Books,395.59,171.77,4,163
39,Automotive Item 039,Automotive,70.91,60.38,2973,234
40,Office Item 040,Office,382.91,177.40,1961,24
41,Electronics Item 041,Electronics,84.84,45.63,645,31
42,Home Item 042,Home,287.64,132.55,4363,206
43,Apparel Item 043,Apparel,49.88,25.26,4503,52
44,Beauty Item 044,Beauty,111.85,49.92,3466,64
45,Sports Item 045,Sports,350.59,167.42,1647,192
46,Grocery Item 046,Grocery,139.26,58.17,3059,122
47,Toys Item 047,Toys,278.12,162.23,2030,67
48,Books Item 048,Books,16.86,14.33,4537,68
49,Automotive Item 049,Automotive,124.19,107.15,482,68
50,Office Item 050,Office,17.76,14.93,2706,28
51,Electronics Item 051,Electronics,140.84,94.01,3976,64
52,Home Item 052,Home,202.21,98.44,4677,157
53,Apparel Item 053,Apparel,184.65,86.66,3334,58
54,Beauty Item 054,Beauty,38.88,19.70,2902,118
55,Sports Item 055,Sports,168.95,75.77,443,182
56,Grocery Item 056,Grocery,232.30,118.66,496,113
57,Toys Item 057,Toys,283.66,131.89,895,73
58,Books Item 058,Books,67.19,36.91,1148,118
59,Automotive Item 059,Automotive,61.32,35.48,617,123
60,Office Item 060,Office,324.16,146.02,802,22
61,Electronics Item 061,Electronics,216.22,118.43,120,33
62,Home Item 062,Home,369.15,166.97,1362,114
63,Apparel Item 063,Apparel,126.07,88.96,3285,241
64,Beauty Item 064,Beauty,21.73,13.38,3198,77
65,Sports Item 065,Sports,355.92,166.99,2336,118
66,Grocery Item 066,Grocery,260.57,126.30,4552,179
67,Toys Item 067,Toys,174.87,130.16,2430,65
68,Books Item 068,Books,326.93,174.46,4441,25
69,Automotive Item 069,Automotive,165.37,135.39,4785,132
70,Office Item 070,Office,203.86,92.00,1289,24
71,Electronics Item 071,Electronics,216.35,173.06,1522,27
72,Home Item 072,Home,215.99,108.32,1926,113
73,Apparel Item 073,Apparel,54.81,24.22,2016,158
74,Beauty Item 074,Beauty,208.26,108.23,3434,178
75,Sports Item 075,Sports,191.73,106.31,2136,62
76,Grocery Item 076,Grocery,187.50,121.54,2175,111
77,Toys Item 077,Toys,51.21,26.17,3745,90
78,Books Item 078,Books,388.41,167.44,76,127
79,Automotive Item 079,Automotive,209.38,112.95,819,28
80,Office Item 080,Office,174.96,98.16,1085,248
81,Electronics Item 081,Electronics,80.06,64.77,2001,104
82,Home Item 082,Home,90.73,53.44,4450,190
83,Apparel Item 083,Apparel,134.58,56.55,4333,12
84,Beauty Item 084,Beauty,223.42,121.21,848,250
85,Sports Item 085,Sports,234.57,158.43,876,200
86,Grocery Item 086,Grocery,150.41,100.92,4954,63
87,Toys Item 087,Toys,182.61,130.02,2162,139
88,Books Item 088,Books,204.14,89.47,416,33
89,Automotive Item 089,Automotive,252.06,115.27,361,10
90,Office Item 090,Office,81.49,62.04,2145,51
91,Electronics Item 091,Electronics,246.87,134.20,3503,153
92,Home Item 092,Home,5.86,4.71,1221,149
93,Apparel Item 093,Apparel,15.12,9.38,4526,47
94,Beauty Item 094,Beauty,95.06,79.07,2987,240
95,Sports Item 095,Sports,397.74,168.16,326,240
96,Grocery Item 096,Grocery,132.83,66.33,842,100
97,Toys Item 097,Toys,318.16,141.08,3329,168
98,Books Item 098,Books,313.00,135.66,1939,231
99,Automotive Item 099,Automotive,68.28,31.76,1450,235
100,Office Item 100,Office,104.41,75.98,2721,210
101,Electronics Item 101,Electronics,361.13,167.75,2032,78
102,Home Item 102,Home,63.19,31.18,3133,233
103,Apparel Item 103,Apparel,17.12,9.85,1634,219
104,Beauty Item 104,Beauty,262.77,165.57,1864,67
105,Sports Item 105,Sports,10.00,7.19,2689,81
106,Grocery Item 106,Grocery,367.92,155.99,2286,99
107,Toys Item 107,Toys,192.24,116.54,4392,94
108,Books Item 108,Books,219.03,169.24,2139,55
109,Automotive Item 109,Automotive,251.65,105.76,313,37
110,Office Item 110,Office,171.80,108.59,2569,121
111,Electronics Item 111,Electronics,197.36,110.30,3155,240
112,Home Item 112,Home,154.27,105.06,3572,10
113,Apparel Item 113,Apparel,205.09,95.03,1614,103
114,Beauty Item 114,Beauty,185.35,79.34,2704,169
115,Sports Item 115,Sports,129.42,58.56,2460,139
116,Grocery Item 116,Grocery,95.88,57.74,3296,188
117,Toys Item 117,Toys,72.43,55.33,3444,180
118,Books Item 118,Books,338.31,169.44,1425,167
119,Automotive Item 119,Automotive,171.94,103.73,3,87
120,Office Item 120,Office,90.75,53.78,4751,165
121,Electronics Item 121,Electronics,205.81,118.88,3622,182
122,Home Item 122,Home,71.10,40.83,1390,178
123,Apparel Item 123,Apparel,32.32,18.01,2745,33
124,Beauty Item 124,Beauty,308.87,147.86,2542,67
125,Sports Item 125,Sports,194.47,145.76,378,72
126,Grocery Item 126,Grocery,339.10,177.16,596,126
127,Toys Item 127,Toys,147.93,76.36,1592,193
128,Books Item 128,Books,223.21,126.25,1998,47
129,Automotive Item 129,Automotive,137.81,119.12,873,209
130,Office Item 130,Office,107.19,78.25,4243,128
131,Electronics Item 131,Electronics,17.38,11.89,994,126
132,Home Item 132,Home,46.04,26.60,4351,153
133,Apparel Item 133,Apparel,253.39,108.40,3625,166
134,Beauty Item 134,Beauty,333.55,147.26,3495,222
135,Sports Item 135,Sports,279.18,163.51,1303,200
136,Grocery Item 136,Grocery,266.27,155.48,2025,225
